timestamp,symbol,quantity,price,style,typeOption,stockName,stockSector,marketCap,InternalNum
2025-06-16 21:33:48.096249,BAC,26,44.23,American,Call,Bank of America Corporation,Financial Services,333135052800,0
2025-06-17 11:45:48.827343,AVGO,755,249.37,European,Call,Broadcom Inc.,Technology,1172904345600,1
2025-06-16 23:13:49.356674,GILD,33,108.0,European,Call,"Gilead Sciences, Inc.",Healthcare,134344441856,2
2025-06-17 11:55:49.797697,ED,518,101.35,European,Call,"Consolidated Edison, Inc.",Utilities,36515999744,3
2025-06-16 21:12:50.265650,PKG,559,186.35,American,Call,Packaging Corporation of Americ,Consumer Cyclical,16767773696,4
2025-06-17 04:03:50.729869,MMC,285,216.03,European,Call,"Marsh & McLennan Companies, Inc",Financial Services,106444029952,5
2025-06-16 19:33:51.217891,GILD,349,108.0,American,Call,"Gilead Sciences, Inc.",Healthcare,134344441856,6
2025-06-17 12:02:51.584563,WDC,782,58.57,American,Call,Western Digital Corporation,Technology,20433784832,7
2025-06-17 16:13:52.092053,FITB,100,38.11,American,Put,Fifth Third Bancorp,Financial Services,25438119936,8
2025-06-16 22:46:52.592775,DHR,827,195.75,European,Put,Danaher Corporation,Healthcare,140092407808,9
2025-06-17 01:04:54.060044,BIIB,997,126.56,American,Call,Biogen Inc.,Healthcare,18544582656,10
2025-06-17 00:32:54.515293,DPZ,850,458.78,American,Call,Domino's Pizza Inc,Consumer Cyclical,15709315072,11
2025-06-17 17:00:54.948892,AMCR,678,9.07,European,Put,Amcor plc,Consumer Cyclical,20782452736,12
2025-06-17 16:39:55.370360,TEL,239,163.66,European,Put,TE Connectivity plc,Technology,48532885504,13
2025-06-17 09:53:55.782386,HD,651,348.78,American,Call,"Home Depot, Inc. (The)",Consumer Cyclical,347010990080,14
2025-06-17 06:44:56.235999,EXC,215,42.39,American,Call,Exelon Corporation,Utilities,42794397696,15
2025-06-16 22:35:56.728568,MNST,176,62.78,European,Call,Monster Beverage Corporation,Consumer Defensive,61225943040,16
2025-06-17 03:36:57.874511,FITB,277,38.11,European,Put,Fifth Third Bancorp,Financial Services,25438119936,17
2025-06-17 17:28:58.166169,CAG,842,21.55,European,Put,"ConAgra Brands, Inc.",Consumer Defensive,10287150080,18
2025-06-17 05:41:58.611258,DVA,68,136.51,European,Put,DaVita Inc.,Healthcare,10317016064,19
2025-06-17 12:07:59.055272,NWSA,512,27.76,American,Put,News Corporation,Communication Services,16449771520,20
2025-06-17 14:30:59.509510,DHR,143,195.75,European,Put,Danaher Corporation,Healthcare,140092407808,21
2025-06-16 23:25:59.842435,GDDY,920,178.04,American,Put,GoDaddy Inc.,Technology,25368561664,22
2025-06-17 11:54:00.252153,BMY,522,47.23,American,Call,Bristol-Myers Squibb Company,Healthcare,96116826112,23
2025-06-17 17:47:00.802228,TSLA,113,316.35,European,Call,"Tesla, Inc.",Consumer Cyclical,1018950713344,24
2025-06-16 20:10:01.211315,GILD,611,108.0,European,Put,"Gilead Sciences, Inc.",Healthcare,134344441856,25
2025-06-17 06:22:01.611871,MTCH,480,30.27,American,Call,"Match Group, Inc.",Unknown,7422960640,26
2025-06-16 20:10:02.768765,PFE,118,24.0,American,Put,"Pfizer, Inc.",Healthcare,136448876544,27
2025-06-17 15:35:03.277573,DPZ,446,458.78,European,Put,Domino's Pizza Inc,Consumer Cyclical,15709315072,28
2025-06-17 19:17:04.314519,WELL,740,151.87,American,Call,Welltower Inc.,Real Estate,99315687424,29
2025-06-17 02:04:04.789130,VLTO,109,97.44,American,Call,Veralto Corp,Industrials,24151576576,30
2025-06-17 14:10:05.228870,FRT,781,95.19,European,Call,Federal Realty Investment Trust,Real Estate,8268956160,31
2025-06-16 22:57:06.538415,ELV,501,375.19,European,Call,"Elevance Health, Inc.",Healthcare,84768555008,32
2025-06-17 07:00:07.170180,TDG,852,1425.38,American,Call,Transdigm Group Incorporated,Industrials,80059457536,33
2025-06-17 17:25:07.597902,CPRT,900,48.0,European,Call,"Copart, Inc.",Industrials,46412926976,34
2025-06-17 02:48:08.098604,SNA,71,307.28,European,Call,Snap-On Incorporated,Industrials,16067978240,35
2025-06-16 20:52:08.770174,IEX,970,175.99,European,Put,IDEX Corporation,Industrials,13295094784,36
2025-06-17 01:23:09.219683,TKO,622,167.96,American,Call,"TKO Group Holdings, Inc.",Unknown,13730311168,37
2025-06-17 00:59:10.556390,PHM,748,98.72,European,Put,"PulteGroup, Inc.",Consumer Cyclical,19786153984,38
2025-06-17 05:46:11.011548,NOC,666,503.97,American,Put,Northrop Grumman Corporation,Industrials,72535392256,39
2025-06-17 01:44:11.479574,HOLX,124,64.14,European,Call,"Hologic, Inc.",Healthcare,14293277696,40
2025-06-17 17:12:11.879048,EQIX,22,886.76,European,Call,"Equinix, Inc.",Real Estate,86741975040,41
2025-06-17 19:09:12.316181,AON,725,350.81,European,Call,Aon plc,Financial Services,75753914368,42
2025-06-17 17:05:13.972750,UNH,33,308.87,American,Call,UnitedHealth Group Incorporated,Healthcare,280188321792,43
2025-06-17 01:51:14.451588,CEG,286,305.7,American,Call,Constellation Energy Corporatio,Utilities,95811575808,44
2025-06-17 00:59:15.769426,BA,741,200.26,American,Call,Boeing Company (The),Unknown,150997237760,45
2025-06-17 03:15:17.201203,SPG,417,157.13,European,Call,"Simon Property Group, Inc.",Real Estate,59259854848,46
2025-06-17 16:05:17.719245,NEE,442,71.86,American,Put,"NextEra Energy, Inc.",Unknown,147933151232,47
2025-06-17 05:22:18.877626,HUM,885,241.45,European,Call,Humana Inc.,Healthcare,29141323776,48
2025-06-17 17:19:19.368469,IT,746,404.68,American,Call,"Gartner, Inc.",Technology,31146962944,49
2025-06-17 10:54:20.922412,CHTR,195,373.62,American,Call,"Charter Communications, Inc.",Communication Services,51609624576,50
2025-06-17 04:59:21.325442,CNC,286,54.91,American,Call,Centene Corporation,Healthcare,27323381760,51
2025-06-17 16:49:21.712807,HSIC,828,70.16,European,Call,"Henry Schein, Inc.",Healthcare,8770351104,52
2025-06-16 21:08:22.105500,KKR,857,121.06,European,Call,KKR & Co. Inc.,Financial Services,112005914624,53
2025-06-17 11:19:22.579943,KMX,417,64.43,American,Put,CarMax Inc,Consumer Cyclical,9814944768,54
2025-06-17 12:06:22.983259,TPL,411,1087.6,European,Call,Texas Pacific Land Corporation,Energy,25000986624,55
2025-06-17 06:27:23.402379,AOS,400,63.23,American,Put,A.O. Smith Corporation,Unknown,8985551872,56
2025-06-17 09:39:24.929761,GILD,714,108.0,American,Call,"Gilead Sciences, Inc.",Healthcare,134344441856,57
2025-06-17 12:55:26.053649,DASH,223,219.39,European,Call,"DoorDash, Inc.",Consumer Cyclical,92965199872,58
2025-06-17 08:41:27.155352,AWK,52,140.92,American,Call,"American Water Works Company, I",Utilities,27481090048,59
2025-06-17 17:27:27.661517,WY,521,25.87,European,Call,Weyerhaeuser Company,Real Estate,18762813440,60
2025-06-17 17:03:28.111908,MA,70,569.45,European,Put,Mastercard Incorporated,Financial Services,517107286016,61
2025-06-17 15:18:28.520283,DIS,912,118.13,European,Call,Walt Disney Company (The),Communication Services,212368211968,62
2025-06-16 22:15:29.010329,APTV,430,67.6,American,Put,Aptiv PLC,Consumer Cyclical,14718547968,63
2025-06-17 12:25:29.453729,NTRS,734,109.63,American,Call,Northern Trust Corporation,Financial Services,21327310848,64
2025-06-17 10:20:29.944047,FOX,135,49.63,American,Put,Fox Corporation,Communication Services,23264260096,65
2025-06-17 08:36:30.352743,VST,770,177.75,European,Call,Vistra Corp.,Utilities,60316262400,66
2025-06-17 03:45:30.769971,MAA,577,148.99,European,Call,Mid-America Apartment Communiti,Real Estate,17896382464,67
2025-06-17 01:02:32.141453,CLX,519,122.1,American,Call,Clorox Company (The),Consumer Defensive,15049191424,68
2025-06-17 07:29:32.657135,TRMB,71,71.76,European,Put,Trimble Inc.,Technology,17121004544,69
2025-06-17 09:40:33.831540,CZR,449,26.45,American,Call,"Caesars Entertainment, Inc.",Unknown,5500753920,70
2025-06-16 20:36:35.166080,SOLV,568,72.76,American,Call,Solventum Corporation,Healthcare,12588425216,71
2025-06-17 14:48:35.628720,DHR,119,195.75,European,Call,Danaher Corporation,Healthcare,140092407808,72
2025-06-17 10:06:36.004909,DXCM,620,81.83,European,Put,"DexCom, Inc.",Healthcare,32086116352,73
2025-06-17 12:27:36.375989,OXY,650,45.98,American,Put,Occidental Petroleum Corporatio,Energy,45250433024,74
2025-06-17 10:49:36.804860,UNH,930,308.87,European,Call,UnitedHealth Group Incorporated,Healthcare,280188321792,75
2025-06-16 21:44:37.197495,GILD,850,108.0,American,Call,"Gilead Sciences, Inc.",Healthcare,134344441856,76
2025-06-17 19:16:37.546781,EPAM,790,168.58,European,Put,"EPAM Systems, Inc.",Technology,9550512128,77
2025-06-17 13:53:38.996514,PG,453,158.52,American,Call,Procter & Gamble Company (The),Consumer Defensive,371656491008,78
2025-06-17 15:34:39.478479,APO,968,132.36,European,Call,"Apollo Global Management, Inc. ",Financial Services,75642945536,79
2025-06-17 06:47:39.907695,MPC,566,170.08,European,Put,Marathon Petroleum Corporation,Energy,52250959872,80
2025-06-17 15:02:40.332125,MO,316,58.99,American,Call,"Altria Group, Inc.",Consumer Defensive,99365707776,81
2025-06-17 07:11:40.810827,C,699,77.36,European,Call,"Citigroup, Inc.",Financial Services,144487596032,82
2025-06-17 07:19:41.251395,RVTY,574,94.16,American,Call,"Revvity, Inc.",Healthcare,11098639360,83
